StoreID,StoreName,Label
cclt,金棧快炒,服務
cdl5,斑鳩的窩 (嘉義博愛店),服務
ce1g,花羡沐嵐 (嘉義仁愛店),美味
ceni,ㄆㄨㄆㄨ鼠雞蛋糕,美味
cf03,酒呢？串燒,美味
cfp3,辦桌麻辣燙 (北區嵐湘店),環境
cfrv,信義飯糰早餐車,美味
chbq,燄壽司,服務
ci9r,CIBO義麵,美味
cjo3,福寶甜品專賣店,美味
cjtc,岩語茶 (新竹東南店),美味
cl68,池上木片便當,美味
cl85,寶香素食自助餐廳,服務
clou,黑記東山鴨頭,服務
cm0h,日十。早午食 (彰化自強南店),環境
cm2s,甘泉魚麵 (嘉義仁愛店),環境
cm38,暮牧MUMU早午餐,環境
cmsx,補川食堂,環境
cnju,炸鷄大獅 (新竹武昌店),服務
co3x,一方軒炒飯炒麵 (彰化花壇店),美味
cpfs,島津和牛咖哩 (新竹關新店),環境
cpjx,滑龍粥 (新竹光復店),美味
cpwy,樂檸漢堡 (東區關新門市),環境
cq9g,巫記廣式腸粉,美味
cqrj,大口吐司,環境
cqu8,麵麵聚道大餛飩,環境
cr6q,蔡氏烤鴨,服務
crbh,達美樂Domino's (嘉義博愛信義店),服務
crjt,熱亭燉品屋,美味
cswp,呷尚寶 (彰化伸港店),服務
ct0v,暮暮製所早午餐,環境
ct66,小佐お茶作 (東區馬偕店),服務
ct6e,雞不厭炸,服務
ctv8,巴美食堂,環境
cu6j,小可越南小吃店,環境
cv86,向陽早餐村,環境
cvnr,酷比食堂,服務
cxl4,豪傳說雞排 (彰化師大店),環境
cy4k,大來燒臘店,環境
cz8w,SUBWAY (彰化中華店),服務
czfz,19.5 Tea (嘉義旗艦店),服務
czli,一品專業蔥抓餅,美味
d0di,墨哥慢速食,環境
d0kq,豪記快餐,服務
d0pn,眷村大媽麵食館,服務
d0yo,老上海臭臭鍋(和美店),環境
d18c,姍不嘸食巷口美食,環境
d1ay,一手私藏世界紅茶 (嘉義民族店),環境
d1cv,大基隆花枝焿小吃店,服務
d1fw,上順小館,環境
d1hx,冰鑽8,美味
d1lb,和美眼鏡鹹酥雞,美味
d1qr,腐頭幫炸饅頭,美味
d1uq,呷味先小吃店,環境
d1vr,砰砰雞 (彰化和美店),美味
d1xd,源初燒肉屋,環境
d21n,盧卡司炸肉片,環境
d24o,好運來牛雜麵食館,美味
d2bt,初食拉麵,環境
d2gr,Mister Donut (員林大潤發店),服務
d2hc,謝記牛肉麵店,美味
d2mp,努逗風味館 (嘉義維新店),環境
d2mw,滷嚼色,美味
d2td,丸山拉麵,服務
d2ub,阿美炸雞 (嘉義總店),服務
d2vt,東門万丹紅豆餅,環境
d2wh,弘爺漢堡 (嘉義民愛店),服務
d2ws,i王牪 (彰化員林店),環境
d2xx,角屋拉麵,環境
d34z,這裡有家牛肉麵,環境
d3dl,梁社漢排骨 (嘉義仁愛店),環境
d3ej,吳記雲南美食,環境
d3gk,士林生炒花枝 (彰化金馬店),服務
d3ir,和美尤鹽酥雞大王,美味
d3jo,好客燒肉鮮酒屋,美味
d3js,TEATOP 第一味 (員林靜修店),服務
d3pl,犇頂牛排 (嘉義彌陀店),環境
d3rq,義式88杯麵(員林總店),服務
d3tc,福客來披薩,環境
d3yk,陽光活力早午餐,美味
d45y,Neko 奶酥厚片,環境
d4cm,豆豆之家(豆花),環境
d4in,炸炸屋,服務
d4lq,雲之泰泰緬料理 (彰化線東店),服務
d4nh,胖老爹美式炸雞 (員林萬年店),美味
d4nk,麥當勞 (S175 新竹中正店),環境
d4nq,OWL COFFEE 貓頭鷹咖啡,環境
d4oo,什麼茶? (彰化和美店),美味
d4qa,什麼鍋,環境
d4zp,全師傅美食創意料理館,環境
d5df,春陽茶事 (新竹巨城店),服務
d5ek,艾糖的店-花蓮炸蛋蔥油餅,美味
d5ld,光華魷魚羹,服務
d5mr,123熱炒食堂,美味
d5ng,小順豐義式焗烤 (彰化和美店),美味
d5pe,聚饕飯糰早午餐,環境
d5rp,沐森咖啡,環境
d5tp,沒關西關東煮,服務
d5uj,海瑞摃丸食堂,美味
d5xr,Mister Donut (新竹巨城店),服務
d6aw,古早亭仙草甘茶 (彰化和美店),環境
d6bx,DUEN Thai 泰式海鮮小吃,美味
d6cx,小如麵食館,服務
d6jy,真好味麵食館,美味
d6ok,札凳手作早午餐,環境
d6uw,阿奇師鹽酥雞王,服務
d6vh,蔡家蔥抓餅,美味
d6wj,超吉飯桶 (彰化和美店),服務
d7bf,樂芙雞蛋糕,環境
d7cg,台灣寶島麵線站,服務
d7nh,Mini蘪秜廚房,服務
d7np,榮記鮮果茶飲 (原另果),服務
d7pc,川越茶飲,美味
d7tr,六之壹複合式餐飲店,環境
d7uw,狀元廣東粥 (彰化員林店),美味
d7xi,我家麵店,服務
d7xs,圓環火雞大王,環境
d7xt,林家火雞肉飯X麻油雞飯,美味
d8cx,隱燃燒肉丼食堂,環境
d8id,粥年慶,服務
d8nz,達達印度料理 Burans Indian Kitchen,環境
d8ra,熊愛吃鍋燒意麵,美味
d94f,豐茗樓港式點心,服務
d9j6,極速特區網路美食館 (彰化北斗店),環境
d9jf,老爹陽春麵,美味
d9rj,豆奶伯中西自助早午餐,美味
d9sf,水巷茶弄 (彰化民族店),服務
d9ul,食點子麵館,環境
d9wk,阿胖食堂,美味
d9wz,柏陞鹽酥雞,服務
d9xr,高關紅豆餅 (新竹西大店),美味
daiq,阿水師魚翅羹,美味
dax6,小椿莊,環境
dayf,加顆蛋早午餐 Eplus CAFE’,環境
dbzy,天食鍋燒 粥專賣,美味
dd1n,愛吃麵,環境
ddyp,料鐵哥醬燒鐵板燒 (彰化和美店),服務
de1n,阿宣越南小吃,美味
de9m,公園前串燒 (新竹埔頂店),環境
dee8,拾覺 (嘉義民生北店),服務
dens,新巧味肉圓,環境
dfb1,員炙燒肉丼,環境
dfx8,樂平,服務
dfyt,北巡東山鴨頭,服務
dgs7,麵線糊了 (彰化溪湖二店),服務
dh2f,亞曼達義大利麵,環境
dh9t,Louisa 路易莎 (嘉義博愛店),環境
dhd0,魚池新語 (嘉義興業店),服務
dhi4,和記麻辣食堂,美味
di9e,Buddy Burger Lab.,美味
djjr,焱林鐵板料理,服務
dk17,歐巴海苔飯捲,環境
dliz,超鮮,美味
dm0t,5號。雞蛋糕,美味
dmgu,國王的茶 (彰化埔心中興店),服務
dmih,小叔烤肉飯,美味
dml8,泰飽爺-泰式平價料理,服務
dn40,波奇輕食館,服務
dn50,惹鍋 (彰化員林店),環境
dn7y,串串雞蛋糕 (彰化員林店),美味
dnkb,唯仔魷魚羹麵,美味
dofp,上豐水餃 (彰化員林店),美味
dogz,佶昌小館,美味
doli,8鍋臭臭鍋 (嘉義民族店),環境
dp0s,眷村寧波麵食,美味
dp4h,星火咖啡輕食,環境
dp8v,安安3號店,美味
dpb0,澄食晨食 (員林員東店),環境
dpfi,奶熊複合式茶飲,美味
dpvt,職人雙饗丼 (新竹關東店),服務
dpxm,顏太煮奶茶 (彰化埔心店),環境
dqf4,玥達人手作可麗餅 (嘉義東門店),環境
dqjo,銘-生炒鴨肉羹,服務
drt2,小原牛排,美味
dtva,張奶奶的私房菜,美味
du04,兩兄弟甜甜圈雙胞胎,美味
du99,東街日本料理 (新竹民生店),環境
dv8w,胡麻將爌肉飯,美味
dx6q,福勝亭 (民族店4769),環境
dxfc,食六早午餐,服務
dxul,木杉食堂,環境
dyxc,三津制麵 (彰化員林店),環境
dz8s,牛埔豆花&油飯,美味
e049,菓蔬輕蒔坊,美味
e07j,潮極蔬勾eat,環境
e0jh,麥味登 (新竹經國店),環境
e0jm,嘉義公園古早味麵食,環境
e0xg,嘉大現炒專賣店,美味
e0ym,美麗果,環境
e0yq,紅燈籠臭豆腐,服務
e1lr,塔帕司 T.pas早午餐,環境
e1od,茶湯會 (西大遠百店),服務
e1oi,龍富專業牛排,服務
e1qw,清記冰菓室,環境
e1uk,大王滷肉飯,美味
e1vb,原巷口關東煮,服務
e1vh,辣妹鹽酥雞,美味
e25z,三姐妹早餐店,美味
e2ao,北方大陸餅 (新竹竹蓮店),服務
e2by,斑馬騷莎美義餐廳 (新竹民族店),環境
e2ct,夜排檔熱炒,服務
e2fs,碳烤地瓜美味餡餅,美味
e2jr,cama café (彰化彰基店),環境
e2tv,太空總薯 (新竹光復店),環境
e2vc,cama café (新竹巨城店),服務
e2wo,小確幸炸飯糰,環境
e2ye,福臨雞肉飯,服務
e3ug,四季臭臭鍋,服務
e3wy,日出茶太 (新竹站前店),服務
e40p,追咖喱,環境
e419,didi海鮮粥,服務
e4ii,竹光便當,美味
e4ne,阿郎小吃,美味
e4oy,科學園小吃,環境
e4rd,店小二 (嘉義南京店),環境
e4rt,早安美芝城 (新竹北大概念店),環境
e4wz,Bon Bon Sweet,環境
e4yk,炸的塩酥雞,服務
e5dm,太蝦活蝦料理/串燒,服務
e5ls,BAGEL貝果義大利麵 (彰化和美店),環境
e5my,大廚子,美味
e5tk,大冰果汁屋 (新竹西大店),服務
e62w,阿姑米糕,環境
e6ef,唯饕獨尊加熱滷味,美味
e6hh,清心福全 (員林中正店),服務
e6if,夏綠蒂雪花冰 (新竹巨城店),環境
e6nu,三顧茅廬 (彰化孔廟店),美味
e6nx,阿忠意麵 (老店),服務
e6tq,一三食,環境
e6ve,頂好馨臭臭鍋 (彰化店),服務
e78m,飯丸屋(嘉義公明店),環境
e7fr,希拉歐式輕食餐廳,環境
e7ia,俏王妃美式炸雞 (新竹南大店),美味
e7ki,韋媽健康炒飯麵 無味素料理,美味
e7nh,賞口飯,服務
e7qu,荳荳龍義大利麵/燉飯/焗烤,美味
e7t9,3廠鹽酥雞 (大庄店),美味
e818,大河屋 (嘉義遠百店),環境
e8aw,大埔鐵板燒 (彰化金馬店),服務
e8cb,古拉爵 (新竹迎曦店),環境
e8cd,正味肉蛋吐司,環境
e8ly,台北永和豆漿大王 (新竹南大店),美味
